2023-11-18 19:35:45 [background-preinit] INFO  o.h.v.i.u.Version                                  - HV000001: Hibernate Validator 6.2.0.Final 
2023-11-18 19:35:46 [restartedMain] INFO  c.v.HelloWorldApplication                          - Starting HelloWorldApplication using Java 21.0.1 on LAPTOP-2CEKEF6O with PID 26028 (C:\Users\Tuan Hung\Desktop\Exercise\02_NgoTuanHung\Java Advanced\Day 10\Lesson 10_Resource\3. Log4j\1. Example 1\HelloWorld\target\classes started by Tuan Hung in C:\Users\Tuan Hung\Desktop\Exercise\02_NgoTuanHung\Java Advanced\Day 10\Lesson 10_Resource\3. Log4j\1. Example 1\HelloWorld) 
2023-11-18 19:35:46 [restartedMain] INFO  c.v.HelloWorldApplication                          - No active profile set, falling back to default profiles: default 
2023-11-18 19:35:46 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2023-11-18 19:35:46 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2023-11-18 19:35:47 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2023-11-18 19:35:47 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Finished Spring Data repository scanning in 80 ms. Found 2 JPA repository interfaces. 
2023-11-18 19:35:48 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat initialized with port(s): 8080 (http) 
2023-11-18 19:35:48 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Initializing ProtocolHandler ["http-nio-8080"] 
2023-11-18 19:35:48 [restartedMain] INFO  o.a.c.c.StandardService                            - Starting service [Tomcat] 
2023-11-18 19:35:48 [restartedMain] INFO  o.a.c.c.StandardEngine                             - Starting Servlet engine: [Apache Tomcat/9.0.55] 
2023-11-18 19:35:48 [restartedMain] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring embedded WebApplicationContext 
2023-11-18 19:35:48 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     - Root WebApplicationContext: initialization completed in 2227 ms 
2023-11-18 19:35:48 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Starting... 
2023-11-18 19:35:49 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Start completed. 
2023-11-18 19:35:49 [restartedMain] INFO  o.h.j.i.u.LogHelper                                - HHH000204: Processing PersistenceUnitInfo [name: default] 
2023-11-18 19:35:49 [restartedMain] INFO  o.h.Version                                        - HHH000412: Hibernate ORM core version 5.6.1.Final 
2023-11-18 19:35:49 [restartedMain] INFO  o.h.a.c.Version                                    - HCANN000001: Hibernate Commons Annotations {5.1.2.Final} 
2023-11-18 19:35:49 [restartedMain] INFO  o.h.d.Dialect                                      - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect 
2023-11-18 19:35:50 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator                 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
2023-11-18 19:35:50 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Initialized JPA EntityManagerFactory for persistence unit 'default' 
2023-11-18 19:35:50 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2023-11-18 19:35:51 [restartedMain] INFO  o.s.s.w.DefaultSecurityFilterChain                 - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@50dcd429, org.springframework.security.web.context.SecurityContextPersistenceFilter@6687b26f, org.springframework.security.web.header.HeaderWriterFilter@2c9dd666, org.springframework.web.filter.CorsFilter@3bea66bb, org.springframework.security.web.authentication.logout.LogoutFilter@5a017e8a, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@53724c2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3be7db33, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2df05310, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@378c2a58, org.springframework.security.web.session.SessionManagementFilter@61343895, org.springframework.security.web.access.ExceptionTranslationFilter@3b01ac8c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1f51202e] 
2023-11-18 19:35:52 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer                 - LiveReload server is running on port 35729 
2023-11-18 19:35:52 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Starting ProtocolHandler ["http-nio-8080"] 
2023-11-18 19:35:52 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat started on port(s): 8080 (http) with context path '' 
2023-11-18 19:35:52 [restartedMain] INFO  c.v.HelloWorldApplication                          - Started HelloWorldApplication in 7.258 seconds (JVM running for 10.984) 
2023-11-18 19:36:08 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Closing JPA EntityManagerFactory for persistence unit 'default' 
2023-11-18 19:36:08 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Shutdown initiated... 
2023-11-18 19:36:08 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Shutdown completed. 
